Time,PM1,PM2.5,PM10,Temperature,Gas,Humidity,Pressure,Altitude
1708128224,3,3,4,24.04679688,237704,40.40102928,1008.6454,38.4071668
1708128225,3,3,4,24.04679688,236407,40.40700019,1008.647121,38.39278961
1708128226,3,3,4,24.04640625,237541,40.40695818,1008.644756,38.41255016
1708128227,2,2,3,24.04484375,237379,40.41276122,1008.647341,38.39095214
1708128228,2,2,3,24.04269531,238194,40.40655905,1008.642077,38.43493784
1708128229,2,2,3,24.04171875,238358,40.41242508,1008.642187,38.43401917
1708128230,3,3,4,24.04171875,238031,40.41839637,1008.643907,38.41964206
1708128231,3,4,4,24.04171875,238031,40.40048318,1008.642187,38.43401917
1708128232,3,4,4,24.04210938,238358,40.40649604,1008.63767,38.47176722
1708128233,3,4,4,24.04210938,239677,40.4124671,1008.641111,38.44301291
1708128234,3,4,4,24.04425781,238687,40.4126982,1008.642933,38.42778149
1708128235,3,4,4,24.04425781,238851,40.40075623,1008.639492,38.45653585
1708128236,3,4,4,24.04484375,239511,40.40081924,1008.6439,38.41970643
1708128237,3,4,4,24.04425781,240009,40.40075623,1008.639492,38.45653585
1708128238,3,4,4,24.04367188,240342,40.40666408,1008.650569,38.36397098
1708128239,3,4,4,24.04113281,240843,40.40042017,1008.64122,38.44209425
1708128240,3,4,5,24.03976563,241683,40.40624397,1008.638966,38.46093612
1708128241,3,4,5,24.03703125,241178,40.39997911,1008.631015,38.52737416
1708128242,3,4,5,24.03449219,242529,40.40567684,1008.630269,38.53361212
1708128243,3,4,4,24.03253906,241514,40.38755529,1008.63393,38.50302109
1708128244,3,4,4,24.02902344,241011,40.38717736,1008.629852,38.5370951
1708128245,3,4,4,24.02589844,242190,40.38684143,1008.63158,38.52265512
1708128246,3,4,5,24.02160156,242698,40.38040963,1008.636537,38.48123589
1708128247,3,4,5,24.01847656,243039,40.36216545,1008.643426,38.42366745
1708128248,3,4,5,24.01652344,241514,40.36195562,1008.643645,38.42183202
1708128249,3,4,5,24.0159375,243380,40.3798009,1008.630636,38.53054355
1708128250,3,4,5,24.0159375,241514,40.38577075,1008.627195,38.55929692
1708128251,3,4,5,24.01652344,241178,40.3918038,1008.626441,38.56559834
1708128252,3,5,5,24.01515625,242359,40.39762712,1008.624186,38.5844407
1708128253,3,5,5,24.01457031,242698,40.42144742,1008.62494,38.5781393
1708128254,2,4,4,24.01300781,242869,40.42127937,1008.625804,38.57092012
1708128255,2,4,4,24.01144531,244238,40.43902598,1008.626668,38.56370107
1708128256,2,4,4,24.00929688,242698,40.44476679,1008.631727,38.52142791
1708128257,3,5,5,24.00773438,243209,40.43265499,1008.634311,38.49983282
1708128258,3,4,5,24.00460938,243039,40.43231882,1008.629157,38.54290161
1708128259,3,4,5,24.00421875,242529,40.44422039,1008.635394,38.49077965
1708128260,3,4,5,24.00460938,242359,40.45023455,1008.634318,38.4997724
1708128261,3,4,5,24.00460938,242529,40.4562069,1008.622276,38.60040748
1708128262,3,4,5,24.00519531,242869,40.44432546,1008.626683,38.5635791
1708128263,3,4,5,24.00539063,244755,40.44434648,1008.620123,38.61839334
