Energy,Loc23,Loc22,Loc20
190,1.555555556,1.661538462,4.082089552
191,1.896825397,2.830769231,3.634328358
192,2.896825397,4.761538462,3.208955224
193,3.515873016,3.630769231,2.291044776
194,1.626984127,1.946153846,2.805970149
195,1.531746032,1.376923077,2.470149254
196,2.301587302,2.707692308,3.298507463
197,2.738095238,1.407692308,3.858208955
198,2.134920635,5.438461538,2.902985075
199,2.079365079,2.515384615,4.746268657
200,1.777777778,1.469230769,4.007462687
201,1,1.4,2.291044776
202,2.531746032,2.230769231,3.791044776
203,2.420634921,1,4.373134328
204,1.698412698,1,2.291044776
205,3.198412698,1.569230769,2.873134328
206,2.626984127,1.384615385,2.291044776
207,0.53968254,1.5,2.73880597
208,2.333333333,1.4,1.641791045
209,3.198412698,1.938461538,1.843283582
210,2.984126984,2.2,1.626865672
211,2,0.884615385,3.76119403
212,1.69047619,1.723076923,4.820895522
213,2.166666667,2.076923077,1.395522388
214,1,2.430769231,3.186567164
215,1.865079365,1.361538462,3.179104478
216,1.936507937,1.576923077,4
217,2.666666667,1.953846154,2.291044776
218,1.365079365,0.653846154,3.425373134
219,1.468253968,2,3.902985075
220,0.873015873,3.607692308,1.395522388
221,1.849206349,1.553846154,2.5
222,1.857142857,1.5,2.708955224
223,1.912698413,2,4.462686567
224,1.111111111,1.3,3.656716418
225,2.76984127,2.5,3.186567164
226,1.928571429,2.538461538,3.186567164
227,1.30952381,2.030769231,2.73880597
228,1.857142857,2.007692308,2.589552239
229,2.198412698,0.5,3.141791045
230,2.698412698,2.115384615,2.73880597
231,1.738095238,2.5,2.291044776
232,2.841269841,1.5,3.843283582
233,2.246031746,1.838461538,3.597014925
234,1.19047619,2.592307692,2.044776119
235,2.063492063,2.5,3.358208955
236,2.547619048,2.007692308,3.186567164
237,2.007936508,2.130769231,2.52238806
238,3.325396825,2,0.634328358
239,2.150793651,1.192307692,3.634328358
240,2.76984127,0.5,0.947761194
241,4.23015873,1.992307692,0.5
242,3.420634921,1.361538462,2.731343284
243,1.841269841,2.807692308,1.843283582
244,2.944444444,3.076923077,3.007462687
245,1,1.523076923,2.268656716
246,1.69047619,1.676923077,1.843283582
247,2.944444444,2,2.291044776
248,1.682539683,1,2.73880597
249,1,2.861538462,2.104477612
250,2.214285714,3.3,2.78358209
251,2.468253968,2.392307692,1.664179104
252,1.968253968,1.669230769,1.880597015
253,3.928571429,1.938461538,1.835820896
254,2.158730159,1.323076923,3.28358209
